Name,Rating,Rating Count,Department,Would Take Again %
Royal Albridge,2.4,48,Science,
Michael Fitzpatrick,3.0,44,Computer Science,100.0
Dwayne Sagen,2.0,12,Music,
Benoit Dawant,3.3,8,Engineering,
Carl Smith,3.8,17,Music,100.0
George Becker,4.1,43,Social Science,84.0
Eric Schechter,2.4,43,Mathematics,
Shai Cherry,2.6,21,Theology,
John Vrooman,3.3,102,Economics,100.0
Amanda Kinard,4.7,20,Women's Studies,100.0
Eugene Leboeuf,4.0,15,Engineering,100.0
Russell McIntire,4.5,13,Philosophy,
Kathy Gaca,3.2,20,Classics,40.0
Terry Lybrand,4.5,7,Science,100.0
Bharat Bhuva,3.5,61,Engineering,85.0
Jeffrey Tlumak,3.5,12,Philosophy,
Daoxing Xia,2.4,25,Mathematics,
James Ray,3.0,34,Political Science,
John Ahner,3.2,52,Mathematics,65.0
Suzanna Sherry,3.3,14,Law,67.0
Ann Neely,4.0,11,Education,100.0
Michael Rose,4.4,39,Music,100.0
Joann Staples,4.2,20,Mathematics,
Robert Roselli,3.4,10,Engineering,
Barbara Tsakirgis,4.0,28,Classics,100.0
Charles Maguire,2.6,15,Physics,
Z Issac,4.0,58,Mathematics,
B. Andes Hess,3.0,44,Science,
Tracy Barrett,4.2,17,Languages,
William Caferro,4.6,43,History,84.0
Arleen Tuchman,3.7,18,History,84.0
Robert Mode,3.1,19,Fine Arts,
Robert Weller,3.4,11,Engineering,
Mike Miga,3.5,13,Engineering,100.0
Will Johns,3.7,21,Physics,0.0
Kenion Cosner,4.0,35,English,
Robert Drews,3.6,17,Humanities,
Kinzly Moore,4.0,27,Geology,
Bob Fox,2.6,20,Psychology,
Vaughn May,4.7,44,Political Science,
Sanjiv Gokhale,4.6,25,Engineering,100.0
Timothy Hanusa,3.9,39,Chemistry,
Bob Stammer,4.8,13,Engineering,
Gerald Stubbs,4.2,58,Biology,
John Plummer,4.4,17,English,
Bruce Oppenheimer,4.1,51,Political Science,75.0
Jim Lovensheimer,4.6,85,Music,100.0
John Sloop,3.5,23,Communication,100.0
Brian Griffith,4.0,66,Psychology,80.0
John English,4.1,49,Communication,100.0
James Wittig,4.2,30,Engineering,
Vereen Bell,3.9,24,English,75.0
Virginia Scott,4.9,18,Languages,100.0
Dennis Kezar,3.9,28,English,100.0
Piotr Kaczynski,2.9,21,Chemistry,
Edward Fischer,4.4,24,Anthropology,100.0
Michael Hime,4.3,38,Music,86.0
David Zald,4.1,21,Psychology,84.0
Tatiana Botero,3.3,35,Languages,
Alan Cox,2.4,4,Music,
Martine Prieto,3.9,17,Languages,
Ned Porter,4.4,8,Chemistry,
Cecelia Tichi,3.8,28,English,67.0
Ken Schriver,4.0,12,Physics,
Howard Sandler,3.6,21,Psychology,
Leslie Kirby,2.9,78,Psychology,32.0
Mozghan Mirani,1.9,20,Mathematics,
Prodyot Basu,2.7,16,Engineering,
Mike Ezell,3.1,27,Sociology,
Alene Harris,4.6,6,Education,
Georgine Pion,3.7,13,Business,
Pam Schneller,4.6,8,Music,
Tedra Walden,2.1,12,Psychology,0.0
Matthew Ramsey,3.6,14,History,
Robert Crowson,3.8,9,Psychology,
Robert Innes,3.9,15,Education,
Mark Wolery,3.9,5,Education,
Phil Davis,4.8,13,Engineering,100.0
John Veillette,4.6,17,Engineering,100.0
Chris Rowe,4.8,18,Engineering,100.0
David Wright,2.8,30,Chemistry,100.0
Fang Wan,0.0,0,Management,
Marc Froment-Meurice,2.2,7,Languages,0.0
Mary Beth Raycraft,4.4,22,Languages,
Francisco Estrada-Belli,3.6,25,Anthropology,100.0
Jemima Pierre,2.6,7,Anthropology,
Kassian Kovalcheck,4.2,20,Communication,
Julie Adams,2.9,8,Computer Science,
Larry Dowdy,4.3,16,Computer Science,
Richard McGregor,4.2,16,Religion,100.0
Andrea Maneschi,2.9,18,Economics,
James Lowe,3.3,20,Chemistry,
Malcolm Getz,3.2,48,Economics,75.0
Caleb Clanton,4.9,17,Philosophy,
Charles Singleton,2.7,74,Biology,34.0
Kathy Hoover-Dempsey,4.7,27,Education,
Sam Girgus,3.5,27,Film,50.0
Tim Boyd,4.7,17,History,
Rich Milner,4.3,9,Education,
Ron Porter,4.0,9,Fine Arts,
Beth Conklin,3.8,25,Anthropology,84.0
Sohee Park,3.3,17,Psychology,67.0
Karen Campbell,3.5,14,Sociology,
Mark Hosford,4.5,14,Fine Arts,67.0
Alan Bowers,3.6,26,Engineering,82.0
Raquel Rincon,3.7,33,Languages,
Daniel Patte,3.2,12,Theology,
Volker Oberacker,5.0,5,Physics,
Roy Xu,2.2,13,Engineering,
Jeremy Spinrad,3.1,36,Computer Science,82.0
Jose Medina,4.2,17,Philosophy,100.0
John Janusek,4.2,29,Anthropology,0.0
John Bers,3.7,27,Engineering,
David Carlton,3.3,37,History,50.0
Waldir Sepúlveda,4.5,35,Languages,
Julia Fesmire,3.8,37,Humanities,0.0
William Franke,3.6,9,Religious Studies,67.0
Michael Aurbach,4.4,6,Not Specified,
Stephanie So,4.0,22,Economics,100.0
Mike Neamtu,3.7,20,Mathematics,100.0
Keiko Nakajima,4.4,12,Languages,100.0
James Auer,4.3,11,Ethnic Studies,
Jim Patton,3.7,41,Biology,100.0
Mike Shor,4.9,8,Business,100.0
Lorraine López,4.1,14,English,100.0
Mark Jarman,4.2,10,English,100.0
Edward Friedman,5.0,14,Languages,100.0
Paul Young,4.7,12,English,
Mary Karpos,3.4,77,Sociology,
David Furse,3.0,11,Business,0.0
Jason Dinger,4.8,6,Management,
Ab Bonds,3.9,20,Engineering,
Terry Witherington,3.7,6,Nursing,
Diane Perpich,4.5,3,Philosophy,
Francille Bergquist,4.2,9,Languages,
Roy Neel,4.8,6,Political Science,
Gregg Horowitz,3.9,8,Philosophy,
Peggy Setje-Eilers,3.2,17,Languages,
Miriam Halachmi,4.5,8,Languages,
Joel Tellinghuisen,1.5,17,Chemistry,
James Steiger,3.5,8,Psychology,
Carol Swain,3.6,8,Political Science,
Frank Boehm,4.3,6,Medicine,
David Richter,4.6,4,Languages,
Lewis Baldwin,4.4,13,Religion,
Akunuri Ramayya,2.4,49,Physics,67.0
. Crooke,2.8,13,Mathematics,
Gregory Huffman,2.0,20,Economics,15.0
Marilyn Murphy,4.4,11,Fine Arts,100.0
Heather Talley,5.0,9,Sociology,
Lynn Ramey,4.6,9,Languages,89.0
Molly Miller,3.0,25,Geology,
Steven Baskauf,3.9,60,Biology,43.0
. McCauley,3.8,20,Biology,
Beth Anne Bachmann,4.4,17,English,
Terry Page,4.6,21,Biology,100.0
Jeff Menne,3.3,10,English,
Julie Sharp,4.4,16,Engineering,100.0
Shane Hutson,3.7,11,Physics,100.0
Wil Clouse,2.9,7,Management,100.0
Josh Epstein,3.2,7,English,
Greg Barz,3.9,35,Music,0.0
Awadh Binhazim,4.0,3,Medicine,
Kevin Clark,3.9,38,Management,
Brian Bachmann,3.5,15,Chemistry,100.0
William Damon,4.2,23,Finance,100.0
Leah Marcus,4.1,16,English,75.0
Libby Rowe,3.4,8,Art History,
Tiffiny Tung,4.4,34,Anthropology,100.0
Yoshikuni Igarashi,3.7,26,History,81.0
Socrates Pantelides,1.8,26,Physics,100.0
Michael McLendon,4.4,14,Education,
Mark Dalhouse,4.7,25,History,
Ronnie Steinberg,3.7,30,Sociology,
Tony Brown,3.8,11,Sociology,
Dale Ballou,2.3,12,Social Science,
Judy Garber,3.7,3,Psychology,100.0
Klint Alexander,4.1,41,Political Science,
Laura Carpenter,3.2,12,Sociology,100.0
Keith Moore,0.0,0,Mathematics,
James Epstein,4.2,7,History,100.0
Med Webster,1.9,13,Physics,
Jens Frederiksen,4.7,5,Social Science,
Patrick Abbot,4.3,32,Biology,100.0
Julia Velkovska,2.5,12,Physics,
Roy Gottfried,4.6,30,English,100.0
Megan Saylor,4.1,19,Psychology,100.0
Maury Nation,4.2,3,Psychology,
Sharon Shields,3.5,8,Humanities,
Shawn Salvant,4.2,6,English,
Jon Kaas,3.4,9,Psychology,50.0
Larry Isaac,4.8,13,Sociology,100.0
Patricia Armstrong,4.7,8,Languages,
Beverly Mahan,2.8,4,Psychology,
Kevin Davis,4.0,11,Philosophy,
John Ayers,4.0,7,Geology,100.0
Kefyn Catley,4.1,5,Biology,100.0
Susan Demay,4.6,12,Art,
Robert (bob) Hodapp,3.6,6,Education,100.0
Tonya West,0.0,0,Education,
Jonathan Lamb,3.0,11,English,50.0
Pearl Sims,4.9,5,Education,
Patrick Bateman,4.4,5,Economics,
John Gore,4.1,14,Physics,
Michael Kreyling,3.9,25,English,25.0
Linda Isaacs,2.5,18,Human Development,
Mark Abkowitz,4.8,2,Engineering,
Susan Berk-Seligson,4.4,4,Languages,
Florence Faucher-King,2.5,17,Political Science,
Amanda Krauss,4.1,10,Classics,
Judy Lewis,4.1,16,Engineering,
Kathleen Lane,0.0,0,Education,
Samuele Pardini,4.6,9,Languages,50.0
Christian Grose,4.0,16,Political Science,
Marcy Singer-Gabella,2.9,3,Education,0.0
Joy Ramirez,3.7,5,Languages,
Frances Alpren,3.3,25,Languages,17.0
Andy Tomarken,5.0,3,Psychology,
Nicole Seymour,4.6,5,English,
Sait Umar,4.5,8,Physics,
Kathryn Anderson,2.8,18,Economics,63.0
Andrzej Krezel,2.5,9,Biology,
Susan Hylen,3.3,12,Religion,
Mark Cannon,4.5,10,Human Development,100.0
Philip Rasico,3.7,21,Languages,67.0
Olga Sapir,2.8,3,Mathematics,
Elena Segovia,4.7,18,Languages,100.0
Miranda Nesler,4.0,7,English,
Vivien Fryd,2.9,34,Art History,100.0
Donald Jellerson,5.0,5,English,
Kurt Johnson,3.9,12,History,
Bob Galloway,5.0,2,Engineering,
Patrick Ahern,3.3,12,Philosophy,
Cherrie Clark,4.3,21,Management,
Charles Sissom,4.9,8,Biology,100.0
Scott Aikin,4.8,33,Philosophy,100.0
Steven Tschantz,4.1,13,Mathematics,100.0
Ben Iobst,0.0,0,Geology,
Rene Prieto,3.6,12,Languages,
Vera Chatman,1.6,11,Nursing,
Eva Dessein,4.2,9,Languages,
Lisa Weiss,4.3,2,Languages,
Jonathan Hiskey,3.7,22,Political Science,85.0
Dyan Elliott,3.0,4,History,
Jay Geller,3.3,7,Religion,100.0
Meike Werner,4.7,9,Languages,100.0
Jaya Kasibhatla,3.8,12,English,
Nafissa Thompson,3.7,5,English,
Charlotte Hansen,0.0,0,Culinary Arts,
Alex Fortuna,0.0,0,Mathematics,
Anastasia Curwood,3.8,9,African-American Studies,
Tracy Sharpley-Whiting,4.7,9,African-American Studies,100.0
Jay Bloom,4.6,19,Art History,
Matt Whitt,4.3,7,Philosophy,
Charles Cobb,4.6,23,Nursing,100.0
Louise A Rollins-Smith,2.9,7,Microbiology,0.0
