Name,Rating,Rating Count,Department,Would Take Again %
Royal Albridge,2.4,48 ratings,Science,N/A
Michael Fitzpatrick,3.0,44 ratings,Computer Science,100%
Dwayne Sagen,2.0,12 ratings,Music,N/A
Benoit Dawant,3.3,8 ratings,Engineering,N/A
Carl Smith,3.8,17 ratings,Music,100%
George Becker,4.1,43 ratings,Social Science,84%
Eric Schechter,2.4,43 ratings,Mathematics,N/A
Shai Cherry,2.6,21 ratings,Theology,N/A
John Vrooman,3.3,102 ratings,Economics,100%
Amanda Kinard,4.7,20 ratings,Women's Studies,100%
Eugene Leboeuf,4.0,15 ratings,Engineering,100%
Russell McIntire,4.5,13 ratings,Philosophy,N/A
Kathy Gaca,3.2,20 ratings,Classics,40%
Terry Lybrand,4.5,7 ratings,Science,100%
Bharat Bhuva,3.5,61 ratings,Engineering,85%
Jeffrey Tlumak,3.5,12 ratings,Philosophy,N/A
Daoxing Xia,2.4,25 ratings,Mathematics,N/A
James Ray,3.0,34 ratings,Political Science,N/A
John Ahner,3.2,52 ratings,Mathematics,65%
Suzanna Sherry,3.3,14 ratings,Law,67%
Ann Neely,4.0,11 ratings,Education,100%
Michael Rose,4.4,39 ratings,Music,100%
Joann Staples,4.2,20 ratings,Mathematics,N/A
Robert Roselli,3.4,10 ratings,Engineering,N/A
Barbara Tsakirgis,4.0,28 ratings,Classics,100%
Charles Maguire,2.6,15 ratings,Physics,N/A
Z Issac,4.0,58 ratings,Mathematics,N/A
B. Andes Hess,3.0,44 ratings,Science,N/A
Tracy Barrett,4.2,17 ratings,Languages,N/A
William Caferro,4.6,43 ratings,History,84%
Arleen Tuchman,3.7,18 ratings,History,84%
Robert Mode,3.1,19 ratings,Fine Arts,N/A
Robert Weller,3.4,11 ratings,Engineering,N/A
Mike Miga,3.5,13 ratings,Engineering,100%
Will Johns,3.7,21 ratings,Physics,0%
Kenion Cosner,4.0,35 ratings,English,N/A
Robert Drews,3.6,17 ratings,Humanities,N/A
Kinzly Moore,4.0,27 ratings,Geology,N/A
Bob Fox,2.6,20 ratings,Psychology,N/A
Vaughn May,4.7,44 ratings,Political Science,N/A
Sanjiv Gokhale,4.6,25 ratings,Engineering,100%
Timothy Hanusa,3.9,39 ratings,Chemistry,N/A
Bob Stammer,4.8,13 ratings,Engineering,N/A
Gerald Stubbs,4.2,58 ratings,Biology,N/A
John Plummer,4.4,17 ratings,English,N/A
Bruce Oppenheimer,4.1,51 ratings,Political Science,75%
Jim Lovensheimer,4.6,85 ratings,Music,100%
John Sloop,3.5,23 ratings,Communication,100%
Brian Griffith,4.0,66 ratings,Psychology,80%
John English,4.1,49 ratings,Communication,100%
James Wittig,4.2,30 ratings,Engineering,N/A
Vereen Bell,3.9,24 ratings,English,75%
Virginia Scott,4.9,18 ratings,Languages,100%
Dennis Kezar,3.9,28 ratings,English,100%
Piotr Kaczynski,2.9,21 ratings,Chemistry,N/A
Edward Fischer,4.4,24 ratings,Anthropology,100%
Michael Hime,4.3,38 ratings,Music,86%
David Zald,4.1,21 ratings,Psychology,84%
Tatiana Botero,3.3,35 ratings,Languages,N/A
Alan Cox,2.4,4 ratings,Music,N/A
Martine Prieto,3.9,17 ratings,Languages,N/A
Ned Porter,4.4,8 ratings,Chemistry,N/A
Cecelia Tichi,3.8,28 ratings,English,67%
Ken Schriver,4.0,12 ratings,Physics,N/A
Howard Sandler,3.6,21 ratings,Psychology,N/A
Leslie Kirby,2.9,78 ratings,Psychology,32%
Mozghan Mirani,1.9,20 ratings,Mathematics,N/A
Prodyot Basu,2.7,16 ratings,Engineering,N/A
Mike Ezell,3.1,27 ratings,Sociology,N/A
Alene Harris,4.6,6 ratings,Education,N/A
Georgine Pion,3.7,13 ratings,Business,N/A
Pam Schneller,4.6,8 ratings,Music,N/A
